Song Title,Row Done?,Song FileLinks,Cover Art File Links,Snippet File Links,Studio Session File Links,Era,Date Released,Date Leaked,Date Recorded,Produced by,Features
blink 182,FALSE,,,,,,,,,,
blood on my jeans | on the run,FALSE,,,,,,,,,,
bloody blade | carved in my brain,FALSE,,,,,,,,,,
blowing up,FALSE,,,,,,,,,,
blue cash,FALSE,,,,,,,,,,
blue shit | gentleman,FALSE,,,,,,,,,,
body bag | catch a body,FALSE,,,,,,,,,,
bonnie & clyde | bonnie and clyde,FALSE,,,,,,,,,,
boomerang | livin life,FALSE,,,,,,,,,,
boondocks | broke to rich,FALSE,,,,,,,,,,
boss of me,FALSE,,,,,,,,,,
bottle,FALSE,,,,,,,,,,
bout that,FALSE,,,,,,,,,,
boy wit da bandz | goin crazy,FALSE,,,,,,,,,,
buck 50,FALSE,,,,,,,,,,
bullet for my valentine,FALSE,,,,,,,,,,
burn | in the fire,FALSE,,,,,,,,,,
bury me alive | did it again | lullabies | i did it again | used to,FALSE,,,,,,,,,,
busch,FALSE,,,,,,,,,,
bussin,FALSE,,,,,,,,,,
bustin | savages,FALSE,,,,,,,,,,
bye bye | out your mind,FALSE,,,,,,,,,,
ca$h out | cash out | black out,TRUE,https://cdn.discordapp.com/attachments/1016936737261490237/1021267605056659526/Cah_Out_ft._G_Herbo.m4a,https://media.discordapp.net/attachments/1016936737261490237/1021273745014407299/Cash_out.jpeg?width=632&height=632 | https://media.discordapp.net/attachments/1016936737261490237/1021273745337372712/Cashout.png?width=632&height=632,https://cdn.discordapp.com/attachments/1016936737261490237/1021269575561654353/Cah_Out.mp4|https://cdn.discordapp.com/attachments/1016936737261490237/1021269576094326864/Cah_Out-5.mp4|https://cdn.discordapp.com/attachments/1016936737261490237/1021269576706687048/Cah_Out-3.mp4|https://cdn.discordapp.com/attachments/1016936737261490237/1021269577163874364/Cah_Out-4.mp4|https://cdn.discordapp.com/attachments/1016936737261490237/1021269577583296614/Cah_Out-6.mp4|https://cdn.discordapp.com/attachments/1016936737261490237/1021269578229239888/Cah_Out-2.mp4|https://cdn.discordapp.com/attachments/1016936737261490237/1021269579080667136/Cah_Out-7.mp4,,JW3,unreleased,"March 18, 2021.","October 1, 2019",KBeaZy & Keanu Beats & Engineered by Max Lord,G Herbo
cake | molly water | sacrifices | off this earth | purge | flavor,TRUE,https://cdn.discordapp.com/attachments/1016936737261490237/1021273460212760636/Cake.m4a,https://media.discordapp.net/attachments/1016936737261490237/1021274589931773952/Cake_v1.jpeg?width=632&height=632| https://media.discordapp.net/attachments/1016936737261490237/1021274590183428147/Cake_v2.jpeg?width=632&height=632 |https://media.discordapp.net/attachments/1016936737261490237/1021274590460256277/Cake_v3.jpeg?width=632&height=632 | https://media.discordapp.net/attachments/1016936737261490237/1021274590716112916/Cake_v4.jpeg?width=632&height=632 | https://media.discordapp.net/attachments/1016936737261490237/1021274591034875914/Cake_v1.png?width=632&height=632 | https://media.discordapp.net/attachments/1016936737261490237/1021274591450107934/Cake_v2.jpeg?width=632&height=632 | https://media.discordapp.net/attachments/1016936737261490237/1021274592049905764/Cake.jpeg?width=632&height=632 | https://media.discordapp.net/attachments/1016936737261490237/1021274592918118483/Cake.png?width=632&height=632 | https://media.discordapp.net/attachments/1016936737261490237/1021274593492733962/Cake2.jpeg?width=632&height=632,https://cdn.discordapp.com/attachments/1016936737261490237/1021282537793912901/Cake-2.mp4|https://cdn.discordapp.com/attachments/1016936737261490237/1021282538456616991/Cake.mp4|https://cdn.discordapp.com/attachments/1016936737261490237/1021282539006087278/Cake-3.mp4|https://cdn.discordapp.com/attachments/1016936737261490237/1021282539589087242/Cake-4.mp4|https://cdn.discordapp.com/attachments/1016936737261490237/1021282552188768306/Cake.mov,,The Abyss,unreleased,"August 1, 2020","October 14, 2018",Nick Mira,
cali girl | cali | where are you | cali girl where are you | cali girl... where are you</3,TRUE,https://cdn.discordapp.com/attachments/1016936737261490237/1021287053608112178/Cali_Girl_Where_Are_You.m4a,https://images-ext-1.discordapp.net/external/4oQxpxJfnsIcB3vDswF0FyZmD2M9j75o7FzegWaYu5s/https/t2.genius.com/unsafe/327x327/https%253A%252F%252Fimages.genius.com%252Ffdd6be8fe7cf777f68891939c88941ec.500x500x1.jpg?width=294&height=294,https://cdn.discordapp.com/attachments/1016936737261490237/1021287053268365422/Cali_Girl.mp4|https://cdn.discordapp.com/attachments/1016936737261490237/1021287052786028595/Cali_Girl...._Where_are_you.mp4 | https://cdn.discordapp.com/attachments/1016936737261490237/1021287052207210506/Cali_Girl...._Where_are_you-2.mp4,,JTK,"May 30, 2017",,"Febuary 12, 2017",Nick Mira,
californication | relocate,TRUE,https://cdn.discordapp.com/attachments/1016936737261490237/1021289239863902218/Californication.m4a,https://media.discordapp.net/attachments/1016936737261490237/1021289239620628510/californication.jpeg?width=632&height=632| https://media.discordapp.net/attachments/1016936737261490237/1021289246180507728/Californication.png?width=632&height=632 |https://media.discordapp.net/attachments/1016936737261490237/1021289246709006396/Californication2.jpeg?width=632&height=632,,,JW3,unreleased,April 30 2022,"[?] 2019, Bounced / Exported January 26, 2020",London on da Track & Rex Kudo,
candles,TRUE,https://cdn.discordapp.com/attachments/1016936737261490237/1021291190546595850/Candles.m4a,https://media.discordapp.net/attachments/1016936737261490237/1021291568252076042/Goodbye__Good_Riddance.png?width=632&height=632,,,GBGR,May 23 2018,,"February 1, 2018","Jo L'Z, Nik Mira & Taz Taylor",
cant be saved | dylan | delorean,TRUE,https://cdn.discordapp.com/attachments/1016936737261490237/1021297896093655080/Cant_Be_Saved.mp3 | https://cdn.discordapp.com/attachments/1016936737261490237/1021297899017093160/Juice_-_Cant_Be_Saved_Reprod._Jayden.mp3,https://media.discordapp.net/attachments/1016936737261490237/1021299165457821776/Cant_be_saved.jpeg?width=632&height=632 | https://media.discordapp.net/attachments/1016936737261490237/1021299165709467678/Delorean.jpeg?width=632&height=632,https://cdn.discordapp.com/attachments/1016936737261490237/1021297897188368404/Cant_Be_Saved-2.mp4https://cdn.discordapp.com/attachments/1016936737261490237/1021297897888829520/Cant_Be_Saved-3.mp4 | https://cdn.discordapp.com/attachments/1016936737261490237/1021297898656366612/Cant_Be_Saved.mp4,,JW3,unreleased,August 16 2020,March 26 2019,Gezin & Southside,
cant feel my face | safe | safe og,FALSE,,,,,,,,,,
cant go,FALSE,,,,,,,,,,
cant help it | emotional overdose,FALSE,,,,,,,,,,
cant keep up | cash up,FALSE,,,,,,,,,,
cant leave you alone | marroon 5,FALSE,,,,,,,,,,
cant let go | special,FALSE,,,,,,,,,,
cant survive,FALSE,,,,,,,,,,
carry it | gun,FALSE,,,,,,,,,,
cavalier | kung fu,FALSE,,,,,,,,,,
cerebral | obsessed,FALSE,,,,,,,,,,
cha ching | spend it,FALSE,,,,,,,,,,
change you down | chase you down,FALSE,,,,,,,,,,
cheat code | no reload,FALSE,,,,,,,,,,
chicago to la | couple ms,FALSE,,,,,,,,,,
chimp | pimp,FALSE,,,,,,,,,,
choppa,FALSE,,,,,,,,,,
chosen one,FALSE,,,,,,,,,,
chrome | cardi b choppa,FALSE,,,,,,,,,,
cigarettes,FALSE,,,,,,,,,,
classic trap,FALSE,,,,,,,,,,
classroom,FALSE,,,,,,,,,,
clean heart | heart clean,FALSE,,,,,,,,,,
club wit a k,FALSE,,,,,,,,,,
cocaine,FALSE,,,,,,,,,,
codeine casket,FALSE,,,,,,,,,,
codeine cobain,FALSE,,,,,,,,,,
codeine guzzler,FALSE,,,,,,,,,,
codependent | not that easy,FALSE,,,,,,,,,,
come around,FALSE,,,,,,,,,,
coming over | heartbreak music,FALSE,,,,,,,,,,
common sense | i love you ,FALSE,,,,,,,,,,
complications,FALSE,,,,,,,,,,
condone it,FALSE,,,,,,,,,,
confessions | rough ,FALSE,,,,,,,,,,
confide | help me hide,FALSE,,,,,,,,,,
confide to,FALSE,,,,,,,,,,
confused,FALSE,,,,,,,,,,
conjuring | wont die,FALSE,,,,,,,,,,
connection,FALSE,,,,,,,,,,
contained | change | leave me dead,FALSE,,,,,,,,,,
conversations | devil conversations,FALSE,,,,,,,,,,
cooking orders | gun in the bag,FALSE,,,,,,,,,,
coraline | call me coraline,FALSE,,,,,,,,,,
coupe | crew | yo bishh,FALSE,,,,,,,,,,
cowboy hunt,FALSE,,,,,,,,,,
crossing the line | clean,FALSE,,,,,,,,,,
cruising,FALSE,,,,,,,,,,
cursed | lotti blu ray,FALSE,,,,,,,,,,
cursed heart | dont play,FALSE,,,,,,,,,,
dagger | facetime,FALSE,,,,,,,,,,
daily,FALSE,,,,,,,,,,
damn right | what i wanna do,FALSE,,,,,,,,,,
danny phantom,FALSE,,,,,,,,,,
dark arts | lock on | barry bonds,FALSE,,,,,,,,,,
dark place,FALSE,,,,,,,,,,
dark thoughts | on your mind,FALSE,,,,,,,,,,
dark tints | double rs,FALSE,,,,,,,,,,
day one,FALSE,,,,,,,,,,
death penalty | dark queen,FALSE,,,,,,,,,,
death race | death race for love | drfl,FALSE,,,,,,,,,,
deep in,FALSE,,,,,,,,,,
demise,FALSE,,,,,,,,,,
demo wreck,FALSE,,,,,,,,,,
demon love,FALSE,,,,,,,,,,
